
✅影视精选,#genre#
纬来育乐,http://38.60.38.190:2023/dl/1.php?id=56
纬来日本,http://38.60.38.190:2023/dl/1.php?id=55
ELEVEN2,http://38.60.38.190:2023/dl/1.php?id=58
印度電影,http://23.237.10.66:16054
MULTI SHOW,http://23.237.10.66:16124
丹麥-Sportv2,http://23.237.10.66:16180
TELE CINE Pipoca,http://23.237.10.66:16195
民视HD,http://23.237.10.66:16334
台视HD,http://23.237.10.66:16344
星卫电影台HD,http://23.237.10.66:16359
中天综合HD,http://23.237.10.66:16372
DIDIK TV,http://23.237.10.66:16404
DIDIK TV2,http://23.237.10.66:16405
电视剧场,http://23.237.10.66:16406
翡翠台HD,http://23.237.10.66:16410
GO SHOP,http://23.237.10.66:16426
CGTN,http://23.237.10.66:16428
Astro OASIS,http://23.237.10.66:16471
CGTN纪录片,http://23.237.10.66:16473
M suria,http://23.237.10.66:16492
嘉佳卡通,http://23.237.10.66:16662
IPTV高清院线,http://119.39.128.18:88/hls/34/index.m3u8
IPTV抗战剧场,http://119.39.128.18:88/hls/35/index.m3u8
IPTV古装剧场,http://119.39.128.18:88/hls/36/index.m3u8
IPTV经典剧场,http://119.39.128.18:88/hls/37/index.m3u8
西藏卫视,https://tv.vtibet.cn/live/EfgSmE4jCTBtvchannel3.m3u8
影视文化,https://tv.vtibet.cn/live/FYeIdVzzCTBtvchannel2.m3u8
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
🎈央视直播,#genre#
CCTV1,https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000
CCTV2,https://live.v1.mk/api/bestv.php?id=cctv2hd8m/8000000
CCTV3,https://live.v1.mk/api/bestv.php?id=cctv38m/8000000
CCTV4,https://live.v1.mk/api/bestv.php?id=cctv4hd8m/8000000
CCTV5,https://live.v1.mk/api/bestv.php?id=cctv58m/8000000
CCTV5+,https://live.v1.mk/api/bestv.php?id=cctv5phd8m/8000000
CCTV6,https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000
CCTV7,https://live.v1.mk/api/bestv.php?id=cctv7hd8m/8000000
CCTV8,https://live.v1.mk/api/bestv.php?id=cctv8hd8m/8000000
CCTV9,https://live.v1.mk/api/bestv.php?id=cctv9hd8m/8000000
CCTV10,https://live.v1.mk/api/bestv.php?id=cctv10hd8m/8000000
CCTV11,https://live.v1.mk/api/bestv.php?id=cctv11hd8m/8000000
CCTV12,https://live.v1.mk/api/bestv.php?id=cctv12hd8m/8000000
CCTV13,https://live.v1.mk/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV14,https://live.v1.mk/api/bestv.php?id=cctvsehd8m/8000000
CCTV15,https://live.v1.mk/api/bestv.php?id=cctv15hd8m/8000000
CCTV16,https://live.v1.mk/api/bestv.php?id=cctv16hd8m/8000000
CCTV17,https://live.v1.mk/api/bestv.php?id=cctv17hd8m/8000000
CCTV1,https://live.v1.mk/api/ghyx.php?id=CCTV1HD_6000
CCTV2,https://live.v1.mk/api/ghyx.php?id=CCTV2HD_6000
CCTV3,https://live.v1.mk/api/ghyx.php?id=CCTV3HD_6000
CCTV4,https://live.v1.mk/api/ghyx.php?id=CCTV4HD_6000
CCTV5,https://live.v1.mk/api/ghyx.php?id=CCTV5HD_6000
CCTV5+,https://live.v1.mk/api/ghyx.php?id=CCTV5plusHD_6000
CCTV6,https://live.v1.mk/api/ghyx.php?id=CCTV6HD_6000
CCTV7,https://live.v1.mk/api/ghyx.php?id=CCTV7HD_6000
CCTV8,https://live.v1.mk/api/ghyx.php?id=CCTV8HD_6000
CCTV9,https://live.v1.mk/api/ghyx.php?id=CCTV9HD_6000
CCTV10,https://live.v1.mk/api/ghyx.php?id=CCTV10HD_6000
CCTV11,https://live.v1.mk/api/ghyx.php?id=CCTV11HD_2000
CCTV12,https://live.v1.mk/api/ghyx.php?id=CCTV12HD_6000
CCTV13,https://live.v1.mk/api/ghyx.php?id=CCTV13HD_2000
CCTV14,https://live.v1.mk/api/ghyx.php?id=CCTV14HD_6000
CCTV15,https://live.v1.mk/api/ghyx.php?id=CCTV15HD_6000
CCTV16,https://live.v1.mk/api/ghyx.php?id=CCTV16HD_6000
CCTV17,https://live.v1.mk/api/ghyx.php?id=CCTV17HD_6000
CCTV1,http://live.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV2,http://live.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV3,http://live.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV4,http://live.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV5,http://live.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV6,http://live.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV7,http://live.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV8,http://live.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV9,http://live.cooltv.top/tv/aishang.php?id=cctv9hd
CCTV10,http://live.cooltv.top/tv/aishang.php?id=cctv10hd
CCTV11,http://live.cooltv.top/tv/aishang.php?id=cctv11hd
CCTV12,http://live.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV13,http://live.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV14,http://live.cooltv.top/tv/aishang.php?id=cctv14hd
CCTV15,http://live.cooltv.top/tv/aishang.php?id=cctv15hd
CCTV16,http://live.cooltv.top/tv/aishang.php?id=cctv16hd
CCTV17,http://live.cooltv.top/tv/aishang.php?id=cctv17hd
CHC动作电影,http://111.20.40.170/PLTV/88888893/224/3221226465/index.m3u8
CHC家庭影院,http://111.20.40.170/PLTV/88888893/224/3221226462/index.m3u8
CHC高清电影,http://111.20.40.170/PLTV/88888893/224/3221226463/index.m3u8
CHC动作电影,http://125.40.191.58:9901/tsfile/live/1002_1.m3u8
CHC动作电影,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1
CHC动作电影,http://117.148.179.157/PLTV/88888888/224/3221231580/index.m3u8
CHC动作电影,http://117.148.179.157/PLTV/88888888/224/3221232945/index.m3u8
CHC动作电影,http://111.20.33.93/PLTV/88888893/224/3221226465/index.m3u8
CHC动作电影,http://117.148.179.138/PLTV/88888888/224/3221231580/index.m3u8
CHC动作电影,http://111.20.33.93/TVOD/88888893/224/3221226465/index.m3u8
CHC动作电影,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1
CHC家庭影院,http://125.40.191.58:9901/tsfile/live/1001_1.m3u8
CHC家庭影院,http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8
CHC家庭影院,http://117.148.179.157/PLTV/88888888/224/3221232942/index.m3u8
CHC家庭影院,http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8
CHC家庭影院,http://gxfrg007.8800.org:8282/tsfile/live/1096_1.m3u8
CHC家庭影院,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240323_1/playlist.m3u8?CONTENTID=00000110240323_1
CHC家庭影院,http://117.148.179.151/PLTV/88888888/224/3221231799/index.m3u8
CHC高清电影,http://gxfrg007.8800.org:8282/tsfile/live/1097_1.m3u8
CHC高清电影,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1
CHC高清电影,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1
CNC中文,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CCTV17,http://wtv.weetai.cn/iptv/2022/tyzb02.php?id=cctv17hd
CNC中文,https://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CETV-1,http://txycetvbl.centv.cn/cetv1/ypd.m3u8
CETV-2,http://txycetvbl.centv.cn/cetv2/2020tsytk.m3u8
CETV-3,http://txycetvbl.centv.cn/cetv3/bjdm.m3u8
CETV-4,http://txycetvbl.centv.cn/cetv4/zjpd.m3u8
ETV1,https://txycsbl.centv.cn/zb/0628cetv1.m3u8
CETV1,http://183.207.255.188/live/program/live/zgjy1ott/1300000/mnf.m3u8
CNC,http://39.135.138.59:18890/PLTV/88888910/224/3221225694/index.m3u8
纪实人文,http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8?zshangd
纪实人文,http://nsszds.f3322.net:808/hls/56/index.m3u8
🎈卫视直播,#genre#
安徽卫视,http://121.51.249.45/live1.ahtv.cn/ahws/hd/live.m3u8
江苏卫视,https://live.v1.mk/api/bestv.php?id=jswshd8m/8000000
广西卫视,https://live.v1.mk/api/bestv.php?id=gxwshd8m/8000000
四川卫视,https://live.v1.mk/api/bestv.php?id=scwshd/8000000
湖南卫视,https://live.v1.mk/api/bestv.php?id=hunanwshd8m/8000000
浙江卫视,https://live.v1.mk/api/bestv.php?id=zjwshd8m/8000000
东方卫视,https://live.v1.mk/api/bestv.php?id=dfwshd8m/8000000
北京卫视,https://live.v1.mk/api/bestv.php?id=bjwshd8m/8000000
天津卫视,https://live.v1.mk/api/bestv.php?id=tjwshd8m/8000000
辽宁卫视,https://live.v1.mk/api/bestv.php?id=lnwshd8m/8000000
安徽卫视,https://live.v1.mk/api/bestv.php?id=ahwshd8m/8000000
黑龙江卫视,https://live.v1.mk/api/bestv.php?id=hljwshd8m/8000000
广东卫视,https://live.v1.mk/api/bestv.php?id=gdwshd8m/8000000
深圳卫视,https://live.v1.mk/api/bestv.php?id=szwshd8m/8000000
河北卫视,https://live.v1.mk/api/ghyx.php?id=HeBeiHD_6000
江西卫视,https://live.v1.mk/api/ghyx.php?id=JiangXiHD_6000
天津卫视,https://live.v1.mk/api/ghyx.php?id=TianJinHD_6000
重庆卫视,https://live.v1.mk/api/ghyx.php?id=ChongQingHD_6000
黑龙江卫视,https://live.v1.mk/api/ghyx.php?id=HeiLongJiangHD_6000
吉林卫视,https://live.v1.mk/api/ghyx.php?id=JiLinWeiShiHD_6000
海南卫视,https://live.v1.mk/api/ghyx.php?id=LvYouWeiShiHD_6000
三沙卫视,https://live.v1.mk/api/ghyx.php?id=SanShaHD2_6000
陕西卫视,https://live.v1.mk/api/ghyx.php?id=ShanXiHD2_6000
云南卫视,https://live.v1.mk/api/ghyx.php?id=YunNanHD2_6000
甘肃卫视,https://live.v1.mk/api/ghyx.php?id=GanSuHD2_6000
足球频道,https://live.v1.mk/api/ghyx.php?id=ZuQiuHD_6000
星空卫视台,http://210.210.155.37/x6bnqe/s/s94/index2.m3u8
天映頻道,http://210.210.155.37/dr9445/h/h14/index.m3u8
天映頻道,http://210.210.155.35:80/dr9445/h/h14/02.m3u8
翡翠台,http://14.118.244.125:9981/stream/channelid/1766086569
明珠台,http://14.118.244.125:9981/stream/channelid/442973337
翡翠台,http://2022.stream-link.org/playlist/tvb_jade
翡翠台,http://23.237.10.66:16106
翡翠台,http://2023.stream-link.org/playlist/tvb_jade
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://jydx.jdshipin.com:8081/hls/67/index.m3u8
翡翠台,http://23.237.10.66:16106
翡翠台,http://23.237.10.66:16106
华丽台,http://23.237.10.66:16410
华丽台,http://2022.stream-link.org/playlist/astro_jade
华丽台,http://23.237.10.66:16410
华丽台,http://23.237.10.66:16410
明珠台,http://107.167.12.58:36733
八度空间,http://2022.stream-link.org/playlist/8tv
TVB星河,http://110.72.100.44:8282/tsfile/live/1062_1.m3u8
TVB星河,http://110.72.101.54:8282/tsfile/live/1062_1.m3u8
TVB星河,http://110.72.102.14:8282/tsfile/live/1062_1.m3u8
TVB星河,http://110.72.102.102:8282/tsfile/live/1062_1.m3u8
TVB星河,http://110.72.102.152:8282/tsfile/live/1062_1.m3u8
TVB星河,http://110.72.103.43:8282/tsfile/live/1062_1.m3u8
TVB星河,http://110.72.103.139:8282/tsfile/live/1062_1.m3u8
台视,http://23.237.10.66:16344
台视,http://2023.stream-link.org/playlist/ttv
台视,http://2023.stream-link.org/playlist/ttv
台视,http://107.151.203.111:2209/135/us50.php?id=tsk
华视,http://2023.stream-link.org/playlist/cts_zy
民视,http://23.237.10.66:16334
民视,http://107.151.203.111:2209/135/us50.php?id=msk
民视,rtmp://119.81.124.89/sat/tv051
台视,rtmp://119.81.124.89/sat/tv071
中视,rtmp://119.81.124.89/sat/tv091
华视,rtmp://119.81.124.89/sat/tv111
TVBS欢乐台,rtmp://119.81.124.89/sat/tv421
TVBS新闻台,rtmp://119.81.124.89/sat/tv551
东森财经台,rtmp://119.81.124.89/sat/tv571
纬来日本台,rtmp://119.81.124.89/sat/tv771
纬来育乐台,rtmp://119.81.124.89/sat/tv701
纬来体育台,rtmp://119.81.124.89/sat/tv721
ELEVEN体育1,rtmp://119.81.124.89/sat/tv731
ELEVEN体育2,rtmp://119.81.124.89/sat/tv741
MOMO综合,rtmp://119.81.124.89/sat//tv761
东森超视台,rtmp://119.81.124.89/sat/tv331
民视第一台,rtmp://119.81.124.89/sat/md021
爱达体育台,rtmp://119.81.124.89/sat/md031.flv
纬来精彩台,rtmp://119.81.124.89/sat/md041
波斯魅力台,rtmp://119.81.124.89/sat/md051
中视新闻,http://2023.stream-link.org/playlist/ctv_news
中视新闻,http://jiandjh.51vip.biz:9000/jmsytb.m3u8?c=6
中视新闻,http://158.101.151.82:9000/jmsytb.m3u8?c=8
台视新闻,http://2023.stream-link.org/playlist/ttv_news
台视新闻,http://jiandjh.51vip.biz:9000/jmsytb.m3u8?c=7
台视新闻,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8?blog.ntnas.top
民视新闻,http://123.51.230.108:18663/.m3u8
民视新闻,http://jiandjh.51vip.biz:9000/jmsytb.m3u8?c=3
民视新闻,http://2023.stream-link.org/playlist/ftv_news
民视新闻,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
华视新闻,http://2023.stream-link.org/playlist/cts_news
华视新闻,http://jiandjh.51vip.biz:9000/jmsytb.m3u8?c=4
中天新闻,http://pull-l3-cny.douyincdn.com/third/stream-7898d38d54c60879ba96a1fa42edbd53.m3u8
中天新闻,http://jiandjh.51vip.biz:9000/jmsytb.m3u8?c=11
中天新闻,http://www.336699.live:1935/blockfour/4gtv-4gtv009.stream/playlist.m3u8
中天新闻,http://2023.stream-link.org/playlist/cti_news
中天新闻,http://158.101.151.82:9000/jmsytb.m3u8?c=05
寰宇國際新聞,http://2023.stream-link.org/playlist/global_news.flv
寰宇新闻台,http://2023.stream-link.org/playlist/global_tw
寰宇新闻台,http://jiandjh.51vip.biz:9000/jmsytb.m3u8?c=5
寰宇新闻台,http://www.yshmzmc.top/gtjm.php?id=live1222
寰宇新闻台,http://158.101.151.82:9000/jmsytb.m3u8?c=14
寰宇新闻台,http://pull-l3-cny.douyincdn.com/third/stream-a9e3982a798d13ba350075af6cff4119.m3u8
TVBS HD,http://2023.stream-link.org/playlist/tvbs
TVBS HD,http://2023.stream-link.org/playlist/tvbs
TVBS歡樂台HD,http://www.336699.live:1935/blockfour/4gtv-4gtv068.stream/playlist.m3u8
TVBS新闻,http://2023.stream-link.org/playlist/tvbs_news
TVBS新闻,http://jiandjh.51vip.biz:9000/jmsytb.m3u8?c=2
TVBS新闻,http://line.premiumpowers.net:80/Manuel/1234567/941622
TVBS新闻,http://2023.stream-link.org/playlist/tvbs_news
TVBS新闻,http://pull-l3-cny.douyincdn.com/third/stream-e6b6ef594c30eb3f3de0fa4ba0ce86e6.m3u8
TVBS新闻,http://line.premiumpowers.net:80/Manuel/1234567/941622
TVBS亚洲台,http://line.premiumpowers.net:80/Manuel/1234567/941621
TVBS亚洲台,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVBS亚洲台,http://pull-l3-cny.douyincdn.com/third/stream-9f6ea8b662a55d5fa562ebaeb2880bfc.m3u8
三立LIVE,http://2023.stream-link.org/playlist/set_news.flv
三立LIVE+,http://2023.stream-link.org/playlist/set_news+.flv
三立財經,http://2023.stream-link.org/playlist/set_inews.flv
三立財經,http://www.336699.live:1935/blocksix/4gtv-live089.stream/chunklist.m3u8
三立新聞,http://123.51.230.64:18543/http/192.168.1.9:8081/hls/65/807/ch18.m3u8
东森新闻,http://www.336699.live:1935/blocksix/4gtv-live114.stream/chunklist.m3u8
东森新闻,http://www.yshmzmc.top/gtjm.php?id=live1014
东森LIVE,http://2023.stream-link.org/playlist/ebc_news
东森LIVE,http://jiandjh.51vip.biz:9000/jmsytb.m3u8?c=1
东森LIVE,http://158.101.151.82:9000/jmsytb.m3u8?c=2
东森LIVE,http://2023.stream-link.org/playlist/ebc_news
東森財經,http://2023.stream-link.org/playlist/ebc_finance
東森財經,http://www.336699.live:1935/blocksix/4gtv-live019.stream/chunklist.m3u8
東森yoyo,http://www.yshmzmc.top/gtjm.php?id=live1008
東森yoyo,http://pull-l3-cny.douyincdn.com/third/stream-adb7cf254b46d42d58828f590a6137bf.m3u8
東森yoyo,http://2023.stream-link.org/playlist/ebc_yoyo
东森戏剧,http://123.51.230.108:18538/.m3u8
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
中天综合,http://pull-l3-cny.douyincdn.com/third/stream-5f26752efeee9e0c53cf6b530640ce60.m3u8
中天综合,http://107.151.203.111:2209/135/us50.php?id=ztz
中天综合,http://2023.stream-link.org/playlist/cti_zh
中天综合,http://107.151.203.111:2209/135/us50.php?id=ztz
中天综合,http://23.237.10.66:16372
天才衝衝衝,http://2023.stream-link.org/playlist/cts_zy.flv
有线新闻台,http://2022.stream-link.org/playlist/cable_news
有线新闻台,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
有线新闻台,http://107.151.203.111:2209/135/hk.php?id=cable37h
有线新闻台,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
有线新闻台,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8
有线新闻台,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd209_h.live/playlist.m3u8
有線財經資訊台,http://2022.stream-link.org/playlist/cable_finance
無綫新聞台,http://2022.stream-link.org/playlist/tvb_news
無綫財經·體育·資訊台,http://2022.stream-link.org/playlist/tvb_finance
峨眉电影,http://112.19.214.90:8883/tsfile/live/1004_1.m3u8
峨眉电影,http://182.151.211.171:808/hls/58/index.m3u8
Lifetime,http://www.336699.live:1935/blocksix/4gtv-live029.stream/chunklist.m3u8
ABC互动英语,http://www.336699.live:1935/blocksix/4gtv-live030.stream/chunklist.m3u8
东森购物1台,http://www.336699.live:1935/blocksix/4gtv-live047.stream/chunklist.m3u8
东森购物2台,http://www.336699.live:1935/blocksix/4gtv-live046.stream/chunklist.m3u8
靖天卡通台,http://www.336699.live:1935/blockfour/4gtv-4gtv044.stream/playlist.m3u8
靖洋戏剧台,http://www.336699.live:1935/blockfour/4gtv-4gtv045.stream/playlist.m3u8
采昌,http://www.336699.live:1935/blockfour/4gtv-4gtv049.stream/playlist.m3u8
GINX,http://www.336699.live:1935/blockfour/4gtv-4gtv053.stream/playlist.m3u8
靖天欢乐台,http://www.336699.live:1935/blockfour/4gtv-4gtv054.stream/playlist.m3u8
靖天映画,http://www.336699.live:1935/blockfour/4gtv-4gtv055.stream/playlist.m3u8
靖天戏剧,http://www.336699.live:1935/blockfour/4gtv-4gtv058.stream/playlist.m3u8
靖天国际,http://www.336699.live:1935/blockfour/4gtv-4gtv063.stream/playlist.m3u8
靖天育乐台,http://www.336699.live:1935/blockfour/4gtv-4gtv062.stream/playlist.m3u8
中视箐采,http://www.336699.live:1935/blockfour/4gtv-4gtv064.stream/playlist.m3u8
爱尔达娱乐,http://www.336699.live:1935/blockfour/4gtv-4gtv070.stream/playlist.m3u8
人间卫视,http://www.336699.live:1935/blocksix/4gtv-live008.stream/chunklist.m3u8
Rollor,http://www.336699.live:1935/blocksix/4gtv-live012.stream/chunklist.m3u8
老电影,http://www.336699.live:1935/blocksix/4gtv-live021.stream/chunklist.m3u8
影迷纪实台,http://www.336699.live:1935/blocksix/4gtv-live023.stream/chunklist.m3u8
全球财经HD,http://www.336699.live:1935/blocksix/4gtv-live060.stream/chunklist.m3u8
全民最大党,http://www.336699.live:1935/blocksix/4gtv-live076.stream/chunklist.m3u8
宠物俱乐部,http://www.336699.live:1935/blocksix/4gtv-live110.stream/chunklist.m3u8
GlobalTrekker,http://www.336699.live:1935/blocksix/4gtv-live112.stream/chunklist.m3u8
爱尔达生活旅游,http://www.336699.live:1935/blocksix/4gtv-live120.stream/chunklist.m3u8
LUXE TV,http://www.336699.live:1935/blocksix/4gtv-live121.stream/chunklist.m3u8
Style,http://www.336699.live:1935/blocksix/4gtv-live122.stream/chunklist.m3u8
中天美食旅游,http://www.336699.live:1935/blocksix/4gtv-live123.stream/chunklist.m3u8
CNN,http://www.336699.live:1935/blocksix/4gtv-live130.stream/chunklist.m3u8
MCE,http://www.336699.live:1935/blocksix/4gtv-live157.stream/chunklist.m3u8
ariring,http://www.336699.live:1935/blockfour/4gtv-4gtv079.stream/playlist.m3u8
Trace sport,http://www.336699.live:1935/blockfour/4gtv-4gtv077.stream/playlist.m3u8
Trace urban,http://www.336699.live:1935/blockfour/4gtv-4gtv082.stream/playlist.m3u8
Mezzo,http://www.336699.live:1935/blockfour/4gtv-4gtv083.stream/playlist.m3u8
智林体育,http://www.336699.live:1935/blockfour/4gtv-4gtv101.stream/playlist.m3u8

好莱坞电影,http://116.11.140.103:8181/tsfile/live/1203_1.m3u8
东森电影,http://120.84.96.23:808/hls/32/index.m3u8
东森洋片,http://120.84.96.23:808/hls/33/index.m3u8
龙祥电影,http://120.84.96.23:808/hls/30/index.m3u8
星空卫视,http://120.84.96.23:808/hls/79/index.m3u8
凤凰香港,http://120.84.96.23:808/hls/81/index.m3u8
私人影院,http://120.84.96.23:808/hls/85/index.m3u8
财经体育新闻,http://120.84.96.23:808/hls/86/index.m3u8

好莱坞电影,http://116.11.140.103:8181/tsfile/live/1203_1.m3u8
东森电影,http://120.84.96.28:808/hls/32/index.m3u8
东森洋片,http://120.84.96.28:808/hls/33/index.m3u8
龙祥电影,http://120.84.96.28:808/hls/30/index.m3u8
星空卫视,http://120.84.96.28:808/hls/79/index.m3u8
凤凰香港,http://120.84.96.28:808/hls/81/index.m3u8
私人影院,http://120.84.96.28:808/hls/85/index.m3u8
财经体育新闻,http://120.84.96.28:808/hls/86/index.m3u8

好莱坞电影,http://116.11.140.103:8181/tsfile/live/1203_1.m3u8
东森电影,http://120.84.96.73:808/hls/32/index.m3u8
东森洋片,http://120.84.96.73:808/hls/33/index.m3u8
龙祥电影,http://120.84.96.73:808/hls/30/index.m3u8
星空卫视,http://120.84.96.73:808/hls/79/index.m3u8
凤凰香港,http://120.84.96.73:808/hls/81/index.m3u8
私人影院,http://120.84.96.73:808/hls/85/index.m3u8
财经体育新闻,http://120.84.96.73:808/hls/86/index.m3u8

好莱坞电影,http://116.11.140.103:8181/tsfile/live/1203_1.m3u8
东森电影,http://120.84.96.79:808/hls/32/index.m3u8
东森洋片,http://120.84.96.79:808/hls/33/index.m3u8
龙祥电影,http://120.84.96.79:808/hls/30/index.m3u8
星空卫视,http://120.84.96.79:808/hls/79/index.m3u8
凤凰香港,http://120.84.96.79:808/hls/81/index.m3u8
私人影院,http://120.84.96.79:808/hls/85/index.m3u8
财经体育新闻,http://120.84.96.79:808/hls/86/index.m3u8

好莱坞电影,http://116.11.140.103:8181/tsfile/live/1203_1.m3u8
东森电影,http://120.84.96.82:808/hls/32/index.m3u8
东森洋片,http://120.84.96.82:808/hls/33/index.m3u8
龙祥电影,http://120.84.96.82:808/hls/30/index.m3u8
星空卫视,http://120.84.96.82:808/hls/79/index.m3u8
凤凰香港,http://120.84.96.82:808/hls/81/index.m3u8
私人影院,http://120.84.96.82:808/hls/85/index.m3u8
财经体育新闻,http://120.84.96.82:808/hls/86/index.m3u8

好莱坞电影,http://116.11.140.103:8181/tsfile/live/1203_1.m3u8
东森电影,http://120.84.96.87:808/hls/32/index.m3u8
东森洋片,http://120.84.96.87:808/hls/33/index.m3u8
